LocusNum,LocusName,AlleleSize,AlleleNumber
7,One114,191,8
7,One114,194,9
7,One114,198,10
7,One114,202,11
7,One114,206,12
7,One114,210,13
7,One114,214,14
7,One114,218,15
7,One114,222,16
7,One114,226,17
7,One114,230,18
7,One114,234,19
7,One114,238,20
7,One114,242,21
7,One114,246,22
7,One114,250,23
7,One114,254,24
7,One114,258,25
7,One114,262,26
7,One114,266,27
7,One114,270,28
7,One114,274,29
7,One114,278,30
7,One114,282,31
7,One114,286,32
7,One114,290,33
7,One114,294,34
7,One114,298,35
7,One114,302,36
7,One114,306,37
7,One114,310,38
7,One114,314,39
7,One114,318,40
7,One114,322,41
7,One114,326,42
7,One114,330,43
7,One114,334,44
7,One114,338,45
7,One114,342,46
7,One114,346,47
7,One114,350,48
7,One114,354,49
7,One114,358,50
7,One114,362,51
7,One114,366,52
7,One114,370,53
7,One114,374,54
7,One114,378,55
7,One114,382,56
7,One114,385,57
7,One114,389,58
7,One114,393,59
7,One114,397,60
7,One114,428,61
8,Ots103,68,1
8,Ots103,72,2
8,Ots103,76,3
8,Ots103,80,4
8,Ots103,84,5
8,Ots103,88,6
8,Ots103,92,7
8,Ots103,96,8
8,Ots103,100,9
8,Ots103,103,10
8,Ots103,107,11
8,Ots103,111,12
8,Ots103,115,13
8,Ots103,119,14
8,Ots103,123,15
8,Ots103,127,16
8,Ots103,131,17
8,Ots103,135,18
8,Ots103,140,19
8,Ots103,144,20
8,Ots103,148,21
8,Ots103,152,22
8,Ots103,156,23
8,Ots103,160,24
8,Ots103,165,25
8,Ots103,169,26
8,Ots103,173,27
8,Ots103,177,28
8,Ots103,181,29
8,Ots103,184,30
8,Ots103,188,31
8,Ots103,192,32
8,Ots103,196,33
8,Ots103,200,34
8,Ots103,203,35
8,Ots103,207,36
8,Ots103,212,37
8,Ots103,216,38
8,Ots103,220,39
8,Ots103,224,40
8,Ots103,228,41
8,Ots103,231,42
8,Ots103,235,43
8,Ots103,239,44
8,Ots103,243,45
8,Ots103,247,46
8,Ots103,251,47
8,Ots103,255,48
8,Ots103,259,49
8,Ots103,263,50
8,Ots103,267,51
8,Ots103,271,52
8,Ots103,275,53
8,Ots103,279,54
8,Ots103,283,55
8,Ots103,287,56
8,Ots103,291,57
8,Ots103,296,58
9,Ots3,62,1
9,Ots3,70,2
9,Ots3,72,3
9,Ots3,74,4
9,Ots3,76,5
9,Ots3,78,6
9,Ots3,80,7
9,Ots3,82,8
9,Ots3,84,9
9,Ots3,86,10
9,Ots3,88,11
9,Ots3,90,12
9,Ots3,92,13
9,Ots3,94,14
9,Ots3,96,15
9,Ots3,98,16
9,Ots3,100,17
9,Ots3,102,18
9,Ots3,104,19
9,Ots3,106,20
9,Ots3,107,21
9,Ots3,109,22
9,Ots3,111,23
9,Ots3,113,24
9,Ots3,115,25
9,Ots3,117,26
9,Ots3,119,27
9,Ots3,121,28
9,Ots3,123,29
9,Ots3,125,30
9,Ots3,127,31
9,Ots3,152,32
10,Otsg68,132,1
10,Otsg68,134,2
10,Otsg68,139,3
10,Otsg68,143,4
10,Otsg68,148,5
10,Otsg68,152,6
10,Otsg68,156,7
10,Otsg68,160,8
10,Otsg68,164,9
10,Otsg68,168,10
10,Otsg68,172,11
10,Otsg68,176,12
10,Otsg68,179,13
10,Otsg68,183,14
10,Otsg68,187,15
10,Otsg68,191,16
10,Otsg68,195,17
10,Otsg68,199,18
10,Otsg68,203,19
10,Otsg68,207,20
10,Otsg68,211,21
10,Otsg68,215,22
10,Otsg68,219,23
10,Otsg68,223,24
10,Otsg68,227,25
10,Otsg68,231,26
10,Otsg68,235,27
10,Otsg68,238,28
10,Otsg68,242,29
10,Otsg68,247,30
10,Otsg68,251,31
10,Otsg68,255,32
10,Otsg68,259,33
10,Otsg68,263,34
10,Otsg68,267,35
10,Otsg68,271,36
10,Otsg68,275,37
10,Otsg68,279,38
10,Otsg68,283,39
10,Otsg68,287,40
10,Otsg68,291,41
10,Otsg68,295,42
10,Otsg68,299,43
10,Otsg68,303,44
10,Otsg68,307,45
10,Otsg68,312,46
10,Otsg68,316,47
10,Otsg68,320,48
10,Otsg68,324,49
10,Otsg68,328,50
10,Otsg68,332,51
10,Otsg68,336,52
10,Otsg68,340,53
10,Otsg68,344,54
10,Otsg68,348,55
10,Otsg68,352,56
10,Otsg68,356,57
10,Otsg68,376,58
10,Otsg68,380,59
10,Otsg68,408,60
10,Otsg68,412,61
10,Otsg68,416,62
10,Otsg68,420,63
10,Otsg68,424,64
10,Otsg68,428,65
10,Otsg68,432,66
10,Otsg68,436,67
10,Otsg68,440,68
10,Otsg68,444,69
10,Otsg68,448,70
10,Otsg68,475,71
11,Ssa419,178,1
11,Ssa419,207,2
11,Ssa419,221,3
11,Ssa419,225,4
11,Ssa419,229,5
11,Ssa419,233,6
11,Ssa419,237,7
11,Ssa419,241,8
11,Ssa419,245,9
11,Ssa419,249,10
11,Ssa419,252,11
11,Ssa419,256,12
11,Ssa419,260,13
11,Ssa419,264,14
11,Ssa419,268,15
11,Ssa419,272,16
11,Ssa419,276,17
11,Ssa419,280,18
11,Ssa419,284,19
11,Ssa419,288,20
11,Ssa419,291,21
11,Ssa419,295,22
11,Ssa419,299,23
11,Ssa419,303,24
11,Ssa419,307,25
11,Ssa419,311,26
11,Ssa419,315,27
11,Ssa419,319,28
11,Ssa419,323,29
11,Ssa419,327,30
11,Ssa419,331,31
11,Ssa419,336,32
11,Ssa419,340,33
11,Ssa419,344,34
11,Ssa419,348,35
11,Ssa419,352,36
11,Ssa419,356,37
11,Ssa419,360,38
11,Ssa419,364,39
11,Ssa419,368,40
11,Ssa419,372,41
11,Ssa419,376,42
11,Ssa419,380,43
11,Ssa419,384,44
11,Ssa419,388,45
11,Ssa419,392,46
11,Ssa419,396,47
11,Ssa419,400,48
11,Ssa419,404,49
11,Ssa419,408,50
11,Ssa419,412,51
11,Ssa419,416,52
11,Ssa419,420,53
11,Ssa419,424,54
11,Ssa419,428,55
11,Ssa419,432,56
11,Ssa419,436,57
11,Ssa419,440,58
11,Ssa419,445,59
11,Ssa419,449,60
11,Ssa419,453,61
11,Ssa419,457,62
11,Ssa419,460,63
11,Ssa419,464,64
11,Ssa419,468,65
11,Ssa419,471,66
11,Ssa419,475,67
11,Ssa419,479,68
11,Ssa419,483,69
11,Ssa419,487,70
11,Ssa419,491,71
11,Ssa419,496,72
11,Ssa419,500,73
11,Ssa419,504,74
